"filename", "language", "C#", "YAML", "XML", "Docker", "Ignore", "Markdown", "TypeScript JSX", "JSON", "TypeScript", "Terraform", "terraform-vars", "JSON with Comments", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/README.md", "Markdown", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 1, 15
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4743, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4744
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/public/vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/src/AuthLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"/Users/aboubacarsogoba/Desktop/LSFramework/ls-front-end/src/DoctorManagement/pages/DoctorPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
